Edad,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AvgMonthSpend,BikeBuyerText,,
29,Bachelors,Clerical,M,M,1,3,0,1,81916,50.97,YES,,
45,Partial College,Clerical,M,M,1,2,1,2,81076,53.11,YES,,
31,Bachelors,Clerical,F,S,0,3,0,0,86387,54.08,YES,,
39,Partial College,Skilled Manual,M,M,1,2,1,2,61481,56.93,YES,,
42,Partial College,Skilled Manual,M,S,1,1,0,0,51804,55.41,YES,,
42,High School,Skilled Manual,F,M,1,2,2,2,61944,49.31,YES,,
45,Partial College,Manual,M,S,1,1,0,0,34919,56.01,NO,,
20,Partial College,Skilled Manual,F,M,0,1,0,0,61832,49.29,YES,,
40,Partial College,Clerical,F,M,1,0,0,2,83834,50.05,YES,,
40,High School,Manual,M,S,0,1,0,0,26880,54.15,NO,,
18,Partial College,Clerical,F,S,0,1,0,0,77258,54.02,NO,,
36,Bachelors,Management,M,M,1,3,0,0,102698,58.29,NO,,
32,Bachelors,Management,F,M,1,1,1,2,108198,52.66,YES,,
57,Bachelors,Professional,M,M,1,2,0,2,133762,52.5,NO,,
26,Partial High School,Manual,M,S,0,1,0,0,30526,49.61,NO,,
46,Partial College,Skilled Manual,F,M,1,2,0,2,56353,49.04,YES,,
52,High School,Clerical,F,S,1,3,1,1,79019,50.48,YES,,
24,Partial College,Skilled Manual,M,S,0,2,0,0,55387,51,YES,,
36,Bachelors,Management,M,M,1,2,0,2,113276,58.69,NO,,
54,Partial College,Management,M,S,1,1,0,1,109259,52.3,NO,,
37,High School,Clerical,F,M,1,0,0,2,83845,50.38,NO,,
40,High School,Skilled Manual,F,M,1,0,2,2,59527,53.22,YES,,
55,Bachelors,Management,M,S,1,1,0,1,108360,51.88,NO,,
20,Partial College,Clerical,M,M,0,1,0,0,87504,49.72,NO,,
24,Bachelors,Skilled Manual,F,M,0,0,0,0,55461,48.76,YES,,
28,Bachelors,Professional,F,S,1,2,0,0,137464,52.03,YES,,
27,High School,Clerical,M,M,1,2,0,1,87676,49.89,YES,,
51,Bachelors,Management,M,M,1,3,0,2,104187,51.15,YES,,
34,Bachelors,Clerical,M,S,0,1,0,0,78222,53.53,YES,,
30,Graduate Degree,Clerical,F,M,1,2,0,1,77383,50.59,NO,,
32,High School,Skilled Manual,F,M,1,1,2,2,60700,49.29,YES,,
36,High School,Manual,F,S,0,0,0,0,30913,49,NO,,
38,Partial College,Clerical,F,S,1,2,0,0,86952,54.71,YES,,
39,Graduate Degree,Skilled Manual,M,M,1,2,1,2,58567,55.64,YES,,
19,Partial College,Clerical,M,M,0,0,0,0,77478,50.55,NO,,
29,Bachelors,Clerical,M,M,1,2,0,1,78406,50.16,NO,,
26,Partial College,Clerical,M,S,0,1,0,0,85318,51.02,NO,,
